Year,Title,Director,Cast,Genre
1997,Blood Money,Chico Ejiro,Zack Orji Kanayo O. Kanayo Francis Agu Sam Dede,
1997,Owo Blow,Tade Ogidan,Prince Leke Ajao Bimbo Akintola Adewale Elesho Lanre Hassan Sam Loco Efe Binta Ayo Mogaji Kayode Odumosu Rachael Oniga Adebayo Salami,
1997,Sango,Obafemi Lasode,Wale Adebayo Bunmi Sanya Wale Ogunyemi Jimi Sholanke Antar Laniyan,
1998,Most Wanted,Tunji Bamishigbin,Regina Askia Ibinabo Fiberisima Ayo Adesanya Liz Benson Genevieve Nnaji Antar Laniyan,Crime action
1998,Diamond Ring,Tade Ogidan,Liz Benson Richard Mofe-Damijo Bimbo Akintola Bukky Ajayi Tunji Bamishigbin Sola Sobowale Teju Gbade-Oyelakin,Horror
1998,Sakobi,Zeb Ejiro,Saint Obi Susan Patrick Tony Umez Edith Ujay Sunday Omobolanle Zik Okafor,
1998,Amadas,Andy Amenechi,Enebeli Elebuwa Saint Obi Bimbo Akintola Adaora Okoh Peter Bruno Keppy Ekpeyong Bassey,
1998,Suicide Mission,Fred Amata,Richard Mofe-Damijo Regina Askia Ameze Imarhiagbe Obot Etuk Patrick Doyle Peter Bunor Jr.,
1998,Oracle,Andy Amenechi,Pete Edochie Prince James Uche Enebeli Elebuwa Charles Okafor Saint Obi,
1998,Scores to Settle,Chico Ejiro,Richard Mofe Damijo Liz Benson Omotola Jalade Ekeinde,
1998,Yogo Pam Pam,Kingsley Ogoro,Nkem Owoh Okey Bakasi,
1999,Amina: Unity in Diversity,Ndubuisi Okoh,Pete Edochie Olu Jacobs Kashimu Yaro Enebeli Elebuwa,
1999,Chain Reaction,Ndubuisi Okoh,Liz Benson Pete Edochie Ernest Asuzu Onyeka Onwenu Rita Edochie,
1999,Conspiracy,Ndubuisi Okoh,Onyeka Onwenu Charles Okafor Larry Koldsweat Nkem Owoh,
1999,Festival of Fire,Chico Ejiro,Kanayo O. Kanayo Regina Askia Saint Obi Victoria Inyama,
1999,Freedom 1 and 2,Chico Ejiro,Richard Mofe-Damijo Rita Nzelu Peter Edochie Fayke Aernan,
1999,Highway to the Grave,Teco Benson,Regina Askia Jide Kosoko Helen Ukpabi,
1999,Holygans,Tony Muonagor,Kingsley Ogbonna Ejike Metusella Charles Okafor,
1999,Igodo,Andy Amenechi and Don Pedro Obaseki,"Pete Edochie Nobert Young Joe Layode Charles Okafor, Ignis Ekwe Chidi Mokeme Sam Dede",
1999,Ijele: Son of the Masquerade,Fred Amata,Eucharia Anunobi Olu Jacobs Sam Dede Sam Loco Efe,
1999,King Jaja of Opobo,Harry Agina,Haji Bello Ineye Johnny Dudafa Enebeli Elebuwa Femi Shaka,
1999,Saworoide,Tunde Kelani,Ayantunji Amoo Kunle Bamtefa Kayode Olaiya Yemi Shodimu Kola Oyewo Lere Paimo Bukky Wright Khabirat Kafidipe Kunle Afolayan,Drama
1999,Odum: A Tale from the Death of the Blue Lake,Chico Ejiro,Jimi Sholanke Femi Fatoba Nnamdi Eze,
2000,Agbako: The Land of a Thousand Demons,Ojiofor Ezeanyaeche,Genevieve Nnaji Sam Dede Patience Ozokwor Steph-Nora Okere,
2000,Battle of Love,Simisola Opeoluwa,Segun Arinze Kanayo O. Kanayo Rekia Attah Ramsey Nouah,
2000,Dapo Junior,Tony Dele Akinyemi,Saint Obi Mady Ooijen Leonard Odehkiran Liz Benson,
2000,First Lady: Who Is She?,Ifeanyi Ikpoeny,Zach Orji Ernest Obi Barbara Udoh,
2000,Ibuka: King of the Forest,Lancelot Imasuen,Pete Edochie Sam Dede Uche Obi Osutule Amatu Braide,
2000,Issakaba 1-4,Lancelot Imasuen,Sam Dede Zulu Adigwe Chiwetalu Agu Pete Eneh,
2000,Last Burial: Will His Soul Rest in Peace? 1-3,Lancelot Imasuen,Clement Ohameze Eucharia Anunobi Sam Dede Chika Anyanwu,
2000,Ngene: The Mistake of the Past Millenium,Ndubuisi Okoh,Kanayo O. Kanayo Chiyere Wilfred Ann Ohume Prince James Uche,
2000,Oduduwa,Andy Amenechi,Peter Fatomilola   Femi Fatoba Bukky Ajayi Pete Edochie,
2000,Oganigwe: My Love Is Your Love,Fred Amata,Olu Jacobs Kenneth Okonkwo Zulu Adigwe Amaechi Muonagor,
2000,State of Emergency,,Teco Benson,
2001,Okuzu Massacre: The Robbers Revenge,John Evah,Segun Arinze Hanks Anuku Amaechi Muonagor Gentle Jack,
2001,Girls Hostel 1 and 2,Ndubuisi Okoh,Olu Jacobs Empress Njamah Alexandra Lopez Uche Jombo,
2001,Holy Law: Sharia,Ejike Asiegbu,Alex Usifo Ejike Asiegbu Ibrahim Mandawari Rachael Oniga,
2001,Last Prophet,Lancelot Imasuen,Zulu Adigwe Ejike Asiegbu Franca Brown Larry Koldsweat,
2001,Oil Village 1 and 2,Kalu Anya,Sam Loco Efe Sam Obiekheme Sandra Achums Nnamdi Eze,
2001,Outkast,Chico Ejiro,Sandra Achums Lilian Bach,Thriller
2002,Aki na Ukwa,Amayo Uzo Philips,Osita Iheme Chinedu Ikedieze,Comedy
2002,Formidable Force,Teco Benson,Hanks Anuku Ernest Asuzu George Davidson Genevieve Nnaji,
2002,Okada Man,Tchidi Chikere,Nkem Owoh Patience Ozokwor Pete Eneh David Ihesie,
2002,The Last Vote,Andy Amenechi,Sam Dede Olu Jacobs Acho Ugenyi Sandra Achums,
2003,Osuofia in London,Kingsley Ogoro,Nkem Owoh,Comedy
2003,2 Rats,Andy Chukwu,Osita Iheme Chinedu Ikedieze,Comedy
