Year,Title,Director,Cast,Genre
2015,The Guest,Christian Olayinka,Rita DominicFemi JacobsSomkele IyamahChika Chukwu,Drama
2015,Belinda EffahSeun AkindeleIvie OkujayeSylvia Oluchy,Romantic drama,Reel Pixel Films,[39]
2015,Robert Peters,Joseph BenjaminStella DamasusBeverly Naya,Romantic drama,
2015,Kevin Nwankwor,Ramsey Nouah,Drama,KevStel Group
2015,,Joseph BenjaminAnthony Ofoegbu,Drama,
2015,Pascal Amanfo,Yvonne NelsonAdeyemi Okanlawon,Drama,YN Productions
2015,Ayo MakunBryan OkwaraToyin AimakhuRacheal OnigaJide Kosoko,Comedy Drama,,[31]
2015,Kalu IkeagwuBright WonderIyke AdieleOsas IyamuChucks Chyke,Comedy Drama,High Definition Film Studios,[33]
2015,Liz BensonDaniel K. Daniel,Drama,Wheels Pictures,[32]
2015,Romance is Overrated,Belinda Yanga,Bryan OkwaraKiki OmeiliKeira Hewatch,Romantic Drama
2015,Olamide Oyelade,Ikenna ObiDiana ChildsTara Nwachukwu,Romantic Drama,Banner Films
2015,Miss Flawless,Tissy Nnachi,Mimi OrjiekweBelinda EffahKenneth Okolie,Drama
2015,Ike Nnaebue,Seun AkindeleUru Eke,Drama,
2015,Ernest Obi,OC UkejeWole OjoYvonne Jegede,Romantic Drama,Banner Films
2015,Van VickerMamai KernehAl Johnson,Drama,Eagle Eye Productions,[43]
2015,Blossom ChukwujekwuKiki OmeiliAdeyemi Okanlawon,Drama,Light Screen Films,[29]
2015,Niyi Akinmolayan,Adesua EtomiBlossom ChukwujekwuTamara Eteimo,Drama,Closer Pictures
2015,Taxi Driver: Oko Ashewo,Daniel Oriahi,Odunlade AdekolaFemi JacobsIjeoma Grace AguHafeez Oyetoro,Romantic Drama
2015,Tope TedelaLinda Ejiofor Adesua EtomiZainab Balogun,Drama,Frankie Ogar Films,[51]
2015,Ikechukwu Onyeka,Alexx EkuboAnthony Monjaro Lilian Esoro,Romantic drama,
2015,Funke Fayoyin,Nse Ikpe-Etim Blossom Chukwujekwu,Drama,
2015,Fifty,Biyi Bandele,Ireti DoyleNse Ikpe EtimDakore AkandeOmoni Oboli,Romantic Drama
2015,Gbomo Gbomo Express,Walter Taylour,Ramsey NouahOsas Ighodaro,Caper Comedy
2015,Forever Within Us,Pat Oghre Imobhio,Seun AkindeleBlossom ChukwujekwuMary Lazarus,Drama
2015,Omoni OboliDakore AkandeTope TedelaDianna Yekinni,Drama,PHB Films,[45]
2015,Jumoke Olatunde,OC UkejeLinda EjioforAlexx EkuboLiz BensonDolapo Oni,Drama,Parables Entertainment
2015,Nana Obiri Yeboah,Ama K. AbebreseJimmy Jean-Louis,Drama,
2016,Ghana Must Go,Frank Rajah Arase,Yvonne OkoroBlossom ChukwujekwuNkem OwohIk Ogbonna,Drama
2016,The CEO,Kunle Afolayan,Kemi Lala AkindojuHilda DokuboJimmy Jean-Louis,Drama
2016,93 Days,Steve Gukas,Bimbo AkintolaDanny GloverBimbo ManuelTim Reid,Docu-Drama
2016,Couple of Days,Lord Tanner,Lilian EsoroKiki OmeiliAdesua Etomi Ademola Adedoyin,Romantic Comedy
2016,Love is in the Hair,Ansa Kpokpogri,Uti NwachukwuBishop Ime Toyin AimakhuOkey Bakassi,Romantic Comedy
2016,Beyond Blood,Greg Odutayo,Kehinde BankoleJoseph Benjamin Bimbo ManuelCarol KingShan George,Romantic Drama
2016,Suru L'ere,Mildred Okwo,Beverly NayaSeun AkindeleKemi Lala Tope Tedela,Comedy Drama
2016,Elephant in the Room,Asurf Oluseyi,Ramsey NouahZainab Sheriff,Romantic Comedy
2017,Sobi's Mystic,Biodun Stephen,Bolaji OgunmolaKunle RemiMofe Duncan,Romantic Drama
2017,The Royal Hibiscus Hotel,Ishaya Bako,Zainab BalogunKenneth OkolieDeyemi OkanlawonJoke SilvaOlu JacobsJide Kosoko,Comedy film
2017,Isoken,Jadesola Osiberu,Dakore Akande Joseph BenjaminFunke AkindeleMarc Rhys,Romantic Drama
2017,Sudani from Nigeria,Zakariya,Soubin ShahirSamuel Abiola Robinson,Comedy and Drama
2017,Lotanna,Toka McBaror,Liz BensonVictor OlaotanChris OkagbueAma Abebrese,Drama
2017,Christmas Is Coming,Ufuoma McDermott,Chioma ChukwukaDeyemi OkanlawonZack OrjiMary Lazarus,Romantic comedy
2017,10 Days in Sun City,Adze Ugha,Ayo MakunAdesuwa EtomiRichard Mofe-DamijoMercy Johnson2Baba,Comedy Drama
2017,The Wedding Party 2,Niyi Akinmolayan,Sola Sobowale Patience Ozokwor Adesua Etomi Banky Wellington,romantic comedy-drama film
2017,The Wedding Party 2,Niyi Akinmolayan,Sola Sobowale Patience Ozokwor Adesua Etomi Banky Wellington,romantic comedy-drama film
2017,Christmas Is Coming,Ufuoma McDermott,Chioma ChukwukaDeyemi OkanlawonZack OrjiMary Lazarus,Romantic comedy
2017,American Driver,Moses Inwang,Evan KingJim IykeNse Ikpe EtimAyo MakunEmma NyraNadia Buari,Comedy film
2018,Up North,Tope Oshin Ogun,Rahama Sadau Kanayo O. Kanayo Adesua Etomi Banky Wellington,Romantic drama film
2018,Chief Daddy,Niyi Akinmolayan,Joke Silva Kate Henshaw Funke Akindele Folarin Falana (Falz) Mawuli Gavor,Comedy Drama
2018,Merry Men: The Real Yoruba Demons,Toka Mcbaror,Ayo MakunFolarin FalanaRamsey NouahOsas IghodaroLilian Esoro,Romantic comedy
2018,Sylvia (2018 film),Daniel Orhiari,Chris AttohZainab Balogun Ini Dima-Okojie Ijeoma Grace Agu Bolaji Ogunmola,Thriller drama film
2018,What Just Happened,Charles Uwagbai,Ufuoma McDermottOmoni OboliToyin AbrahamMike Ezuruonye,Comedy
2018,Boss of All Bosses,Ike Nnaebue,Patience Ozokwor Adunni AdeAkpororoBishop Imeh,Comedy
2018,Lionheart,Genevieve Nnaji,Genevieve NnajiNkem OwohPete EdochieKanayo O. Kanayo,Drama
2018,Ghost and the Tout,Charles Uwagbai,Toyin Abraham Rachael OkonkwoLasisi ElenuOmowunmi Dada,Ghost
2019,Levi,Okechukwu Oku,Lydia Forson Nancy Isime Benjamin Joseph Ramsey Nouah,
2019,Let Karma,Biodun Stephen,Evelyn Bada Blossom Chukwujekwu Chucks Chyke Daniel K. Daniel,
2019,Obey,Martinz Nnaji Jr.,Jibola Dabo Debby Felix Anthony Monjaro,
2019,Loving Danielle,Ike Nnaebue,Blossom Chukwujekwu Theresa Edem Alexx Ekubo,
2019,Chains[1],Andrew Osawuru,Josephine Agbonmwanre Sharon Eronmwansuyi Calistra Akenobo Edgar Ogbeifun Success Akpojotor,
2019,Kuvana,Edward Uka,Ifeanyi Kalu Sambasa Nzeribe Wale Ojo Emmanuel Okhakhu,
2019,Nimbe,Tope Alake,Doyin Abiola Toyin Abraham Odunlade Adekola Bukola Beecraft-Shofola,
2019,Blood & Oil,Curtis Graham,Michael Douglas Cake Alket Kellichi William R. Moses,
2019,Bling Lagosians,Bolanle Austen-Peters,,Bunmi Aboderin Toyin Abraham Tana Adelana Osas Ighodaro Ajibade
2019,Coming From Insanity,Akinyemi Sebastian Akinropo,Gabriel Afolayan Damilola Adegbite Bolanle Ninalowo Wale Ojo,
2019,Love is War,Omoni Oboli,Richard Mofe Damijo Shaffy Bello William Benson Yemi Blaq,
2019,Three Thieves (film),Udoka Oyeka,Shawn Faqua Koye Kekere-Ekun Frank Donga,
2019,Don't Get Mad Get Even (film),Wale Ojo,Femi JacobsYemi Solade Deyemi Okanlanwon Kenneth Okolie Toyin Abraham Patience Ozokwor Jide Kosoko,
2019,Elevator Baby,Akay Mason,Toyin AbrahamTimini Egbuson Sambasa NzeribeSamuel Olatunji Emem Ufot Shafy Bello,
2019,The Herbert Macaulay Affair,Imoh Umoren,William Benson Saidi Balogun Kelechi Udegbe Martha Ehinome Orhiere,
2019,Kpali,Ladipo Johnson,Ini Dima-Okojie Nkem Owoh Gloria Anozie Young Linda Ejiofor Kunle Remi,
2020,Citation,Kunle Afolayan,Temi Otedola Jimmy Jean-Lewis Kunle Afolayan Joke Silva Ibukun Awosika,Drama
2020,Kakanfo,David Dida Tella,Bimbo Oshin Antar Laniyan Dele Odule,Adventure drama
2020,This Lady Called Life,Kayode Kasum,Bisola Aiyeola Efa Iwara,Drama
2020,Rise of the Saints,Samuel O . Olateru,Deyemi Okanlawon Rachel Oniga Tina Mba,Drama
2020,Lemonade,Lummie Edevibe,Kunle Remi Ayoola Ayolola Dino Melaye Linda Osifo,Drama
2020,Lagos to Abuja Coach,Olamide Balogun,Akin Lewis Adunni Ade Tina Mba Maryam Booth,Drama
2020,Fate of Alakada: The Party Planner,Kayode Kasum,Toyin Abraham Mercy Eke Broda Shaggi,Action comedy
2020,Ratnik,Dimeji Ajibola,Osas Ighodaro Bolanle Ninalowo Adunni Ade Karibi Fubara,Science fiction
2020,The Milkmaid,Desmond Ovbiagele,Anthonieta Kalunta Gambo Usman Kona Maryam Booth,Drama
2020,The Good Husband,Dickson Iroegbu,Monalisa Chinda Coker Francis Duru Sam Dede Bassey Ekpeyong Bassey,Drama
2020,The New Normal,Teni Olatoni,Richard Mofe Damijo Mercy Johnson-Okojie Kehinde Bankole Bimbo Akintola,Drama
2020,LOUD,Umanu Ojochenemi Elijah,Wole Ojo Eucharia Anunobi Timini Egbuson Sophie Alakija,Musical
2020,Introducing the Kujus,Biodun Stephen,Bisola Aiyeloa Femi Jacobs Bimbo Ademoye Timini Egbusen,Comedy drama
2020,Finding Hubby,Femi Ogunsanwo,Ade Laoye Kehinde Bankole Munachi Abii Efa Iwara,
2020,Ogbo Nke Ajuala,Uzoma Sunday Logicman,Emeka Ani Chiwetalu Agu Uzoma Sunday Logicman Dom Onu,Adventure drama
2020,11,Quam's Money,Kayode Kasum,Folarin ‘Falz’ Falana Nse Ikpe Etim Toni Tones Williams Uchemba Michelle Dede
2020,Rattlesnake: The Ahanna story,Ramsey Nouah,Stan Nze Osas Ighodaro Bucci Franklin Efa Iwara,Crime drama
2020,11,Lady Buckit and the Motley Monsters,Adebisi Adetayo,Bimbo Akintola Patrick Doyle Kalu Ikeagwu
2020,Soft Work,Darasen Richards,Frank Donga Akin Lewis Shaffy Bello Sanni Mu’azu IK Ogbonna,Action drama
2020,11,Amen Imasuen,Alex Ekubo Linda Osifo Kevin Ikeduba Gregory Ojefua,Thriller
2020,Funke Akindele JJC Skillz,Funke Akindele Chioma Akpotha Eniola Badmus Bimbo Thomas Alex Ekubo,Comedy,Currently the highest grossing Nollywood movie of all time
2020,Nneka the pretty serpent,Tosin Igho,Idia Aisien Ndidi Obi Kenneth Okolie Beverly Osu Beverly Naya,Thriller
2021,Love Castle,Desmond Eliott,Kehinde Bankole Jide Kosoko Zack Orji Desmond Elliot Femi Adebayo Salami,
2021,Prophetess,Niyi Akinmolayan,Toyin Abraham Lateef Adedimeji Muyiwa Ademola Tina Mba,Comedy
2021,Breaded Life,Biodun Stephen,Timini Egbuson Bimbo Ademoye Tina Mba Jide Kosoko,Romantic comedy
2021,Eyimofe,Ari and Chuko Esiri,Jude Akuwudike Temi Ami-Williams Cynthia Ebijie Sadiq Daba,
2021,Suga Suga,Richard Omos,Taiwo Obileye Ayo Adesanya Tana Adelana Wole Ojo,Comedy
2021,Mimi,Samuel ‘’Bigsam’’ Olatunji,Ali Baba Ireti Doyle Toyin Abraham Prince Jide Kosoko Bimbo Akintola,
2021,Lockdown,Moses Inwang,Omotola Jalade-Ekeinde Tony Umez Charles Awurum Sola Sobowale Nobert Young,Psychological thriller
2021,Dwindle,Kayode Kasum Dare Olaitan,Funke Akindele-Bello Bisola Aiyeola Jidekene Achufusi Samuel Perry Uzor Arukwe,Comedy
2021,The New Patriots,Terry Ayebo,Akin Lewis Dele Odule Bimbo Oshin Taiwo Ibikunle Lateef Adedimeji,Political thriller
2021,Badamasi,Obi Emelonye,Enyinna Nwigwe Charles Inojie Sani Danja Yakubu Mohammed,Biopic
2021,Ayinla,Tunde Kelani,Lateef Adedimeji Bimbo Manuel Ade Laoye Kunle Afolayan Bimbo Ademoye,Musical Biopic
2021,Devil In Agbada,Umanu Elijah,Erica Nlewedim Linda Osifo Efe Irele,Action
2021,Gone,Daniel Ademinokan,Sam Dede Gabriel Afolayan Stella Damasus Ada Ameh Bimbo Manuel,
2021,My Village People,Niyi Akinmolayan,Bovi Ugboma Nkem Owoh Amaechi Muonagor Charles Inojie Rachael Oniga,Comedy
2021,The Wait,Yemi Morafa,Nse Ikpe Etim Deyemi Okanlawon Jimmy Odukoya Chimezie Imo,Faith based
2021,The Ghost and the Tout Too,Michael 'Ama Psalmist' Akinrogunde,Mercy Johnson-Okojie Patience Ozokwo Iyabo Ojo Odunlade Adekola,Dramatic comedy
2021,Charge and Bail,Uyoyou Adia,Zainab Balogun Stan Nze Elozonam Ogbolu Folu Storms Eso Dike,Comedy drama
2021,Charge and Bail,Uyoyou Adia,Zainab Balogun Stan Nze Elozonam Ogbolu Folu Storms Eso Dike,Comedy drama
2021,Loving Rona,Luke Aire Oyovbaire,Meg Otanwa Gideon Okeke Jeffbankz Nweke,Romance
2021,Progressive Tailors Club,Biodun Stephen,Femi Adebayo Salami Jaiye Kuti Rachel Oniga Uzor Arukwe,Political satire
2021,Cordelia,Tunde Kelani,,
2021,Soólè,Kayode Kasum,Sola Sobowale Adedimeji Lateef Femi Jacob Adunni Ade Shawn Faqua,Comedy drama
2021,Aki and Pawpaw,,Chinedu IkediezeOsita IhemeAmaechi MuonagorToyin AbrahamChioma Okafor,
2021,Christmas in Miami,Robert Peters,AY Makun Richard Mofe-Damijo Osita Iheme John Amos.,Comedy
2021,Superstar,Akhigbe Illozhobie,Nancy Isime Deyemi Okanlawon Timini Egbuson Daniel Etim Effiong Eku Edewor,Romantic comedy
2021,A Naija Christmas,Kunle Afolayan,Rachel Oniga Abayomi Alvin Efa Iwara Kunle Remi,Romantic Comedy
2021,Progressive Tailors Club,Biodun Stephen,Femi Adebayo Salami Jaiye Kuti Rachel Oniga Uzor Arukwe,Political satire
2021,Cordelia,Tunde Kelani,,
2021,A Naija Christmas,Kunle Afolayan,Rachel Oniga Abayomi Alvin Efa Iwara Kunle Remi,Romantic Comedy
2021,Aki and Pawpaw,,Chinedu IkediezeOsita IhemeAmaechi MuonagorToyin AbrahamChioma Okafor,
2021,Christmas in Miami,Robert Peters,AY Makun Richard Mofe-Damijo Osita Iheme John Amos.,Comedy
2021,Superstar,Akhigbe Illozhobie,Nancy Isime Deyemi Okanlawon Timini Egbuson Daniel Etim Effiong Eku Edewor,Romantic comedy
2021,Soólè,Kayode Kasum,Sola Sobowale Adedimeji Lateef Femi Jacob Adunni Ade Shawn Faqua,Comedy drama
2022,Hey You,Uyoyou Adia,Timini EgbusonEfe Irele Rotimi Salami Stan Nze Tope Olowoniyan,Romantic comedy
2022,King of Thieves (Ogundabede),Adebayo Tijani and Tope Adebayo Salami,Toyin AbrahamFemi Adebayo SalamiOdunlade AdekolaIbrahim ChattaAdedimeji Lateef,Drama
2022,The Blood Covenant,Fiyin Gambo,Tobi BakreShawn FaquaUzor ArukweErica NlewedimAlexx Ekubo,
2022,Tiger's Tail,Uyoyou Adia,Alexx EkuboNatacha AkideAkintoba Adeoluwa Zubby Michael,
2022,Sista,Biodun Stephen,Kehinde Bankole Bisola Aiyeola Deyemi Okanlawon,
2022,Anikulapo,Kunle Afolayan,,
2022,The Set Up 2,Naz Onuzo,Adesua EtomiNancy Isime Kehinde Bankole,
