,title,director,stars,genre,release_date,company
17,Anna,"{""Emeka Madu""}","{""Anthony Aniekwe"",""Jibola Dabo"",""Chelsea Eze"",""Suzan Jumbo Ezenwoye"",""Kemigisha Harriet"",""Frank John"",""Uzoechi Victoria Nancy"",""David Odunayo"",""Juliet Okoroafor"",""Ifeoluwa Olatunde"",""Kunle Remi"",""Angel Samuda"",""Juliet Uboh"",""Nkese Valentine"",""Attah Victor""}",{Drama},2018-02-01,"{""Touch Of Sas Concept""}"
20,Last Offence,"{""Nonso Emekaekwue""}","{""Rita Dominic"",""Mike Ezuruonye"",""Oge Okoye""}",{Drama},2006-09-01,"{""Simony Productions""}"
21,Good News 2,"{""Reginald Ebere""}","{""Fabian Adibe"",""Nonso Diobi"",""Emeka Enyiocha"",""Ebube Nwagbo"",""Susan Obi"",""Patience Ozokwor""}",{Drama},2005-03-01,"{""Cobic Productions""}"
22,The Web,"{""Michael Chineme Ike""}","{""Gabriel Okechukwu Odoh"",""Ben Okoye"",Slimstar}","{Short,Drama,Thriller}",2020-10-01,"{""MIC Productions""}"
25,Blames of Memories,"{""Victor Emeghara""}","{""Peter Bunor"",""Emeka Enyiocha"",""Ngozi Ezeonu"",""Mike Ezuruonye""}",{Drama},2005-02-01,"{""Iyke-Mec Films""}"
26,Western Union,"{""Prince Emeka Ani""}","{""Moses Armstrong"",""Monalisa Chinda"",""Benedict Johnson"",""Jim Lawson""}",{Drama},2007-12-01,"{""Uche 10 Nigeria""}"
27,Tiger King,"{""Stan K. Amandi""}","{""Fabian Adibe"",""Nonso Diobi"",""Pete Edochie"",""Mercy Johnson Okojie"",""Chinwe Owoh""}",{Drama},2008-01-01,"{""Immortal Films""}"
28,Sharon's Call,"{""Okey Ifeanyi""}","{""Toosweet Annan"",""Roxy Antak"",""Uzor Arukwe"",""Josephine Emeka"",""Marilyn Etuk"",""Susan Jimah Odiachi"",""Bolaji Ogunmola"",""Gloria Okafor""}",{Drama},2020-09-01,"{""Rok Studios"",""Supa Pictures Media""}"
30,Trilateral,"{""Akin-Tijani Balogun""}","{""Uche Nwaefuna"",""Matilda Obaseki"",""Chiazo Ogbu"",""Onyinye Okereke""}",{Drama},2022-02-01,"{""Mazinni Pictures"",""Rok Studios""}"
31,Virgins Night Out 2,"{""Tarila Thompson""}","{""Jim Iyke"",""Stephanie Linus""}","{Drama,Romance}",2004-12-01,"{""Goldmark International""}"
33,Arewa ejo,"{""Taofeeq Abisogun""}","{""Lizzy Anjorin"",""Gloria Iwuenon"",""Damola Olatunji"",""Doris Simeon""}",{Drama},2009-02-01,"{""Jewitura Movies""}"
34,We Are One 2,"{""John Uche""}","{""Stella Damasus"",""Justus Esiri"",""Jim Iyke"",""Genevieve Nnaji"",""Doreen Oyesanya""}",{Drama},2004-03-01,"{""Jem Productions""}"
37,Unforseen,"{""Emmanuel Akaemeh""}","{""Ehi Achanya"",""Angela Eguavoen"",""Omolara Idris"",""Mary Lazarus"",""Daniel Lloyd"",""Ik Ogbonna""}",{Drama},2016-09-01,"{""Riyabel Production Service""}"
38,Koi Koi - The Myth,"{""Adekunle Lawal McDouglas""}","{""Lauretta Agbonifo"",""Faith Aimo"",""Yvonne Eddie"",""Keppy Ekpenyong-Bassey"",""Legemah Henry"",""Asuama Inyang"",""Chioma Jennifer"",""Favour Nwankwo"",""Divine Favour Ogbonna"",""Ese Divine Osumah"",""Broda Shaggi""}",{Horror},2022-04-01,"{""Blackbishop Production""}"
39,Blood Battle 2,"{""Ebere Onwu""}","{""Nonso Diobi"",""Justus Esiri"",""Ngozi Ezeonu"",""Chidi Mokeme"",""Maureen Solomon""}",{Action},2005-12-01,"{""Lion Base International""}"
40,Blood Stain in Bokodo 2,"{""Moses Eskor""}","{""Desmond Elliot"",""Justus Esiri"",""Chinelo Ndigwe"",""Effy Okon""}",{Drama},2006-04-01,"{""Samlex Electronics Company""}"
41,Akan,"{""Desmond Elliot""}","{""David Uzoma Aboy"",""Gloria Aju"",""Venita Akpofure"",""Didi Ekanem"",""Alexx Ekubo"",""Emmanuel Etukudo"",""Aniebiet Francis"",""Efiok Henry"",""Grace Johnson"",""Stella Omoarekhe"",""Archie Sam"",""Emem Ufot"",""Ime Bishop Umoh"",""Snow White""}",{Drama},2014-09-01,"{""Denziot Pictures"",""Goldwire Productions""}"
42,Because of Love,"{""Ben Emeh""}","{""Mary Ann Apollo"",""Nnamdi Igweonu"",""Emeka Ike"",""Georgina Onuoha"",""Bob-Manuel Udokwu""}",{Drama},2003-03-01,"{""Eagle Movies""}"
43,Too Much,"{""Daniel Ademinokan""}","{""Seun Akindele"",""Nonso Diobi"",""Ngozi Ezeonu"",""Uche Jombo"",""Ginnefine Kanu"",""Sana Kanu""}",{Drama},2010-06-01,"{""Denziot Studios Production""}"
44,Koroba koroba,"{""Yemi Adegunju""}","{""Gbolagbade Akinpelu"",""Makin Amusan"",""Tunde Bamgbode"",""Femi Fatoba"",""Jide Kosoko"",""Iyabo Odukanmi"",""Ebun Oloyede"",""Feso Oyewole"",""Lere Paimo""}",{Drama},2003-07-01,"{""Wastayo Films""}"
45,Lost Wealth 2,"{""Afam Okereke""}","{""Chiwetalu Agu"",""Emeka Enyiocha"",""Cynthia Okereke"",""Chinwe Owoh""}",{Drama},2006-10-01,"{""Samlex Electronics Company""}"
48,Ticket to Life,"{""Geshin Salvador""}","{""Kubra Emokpaire"",""Tina Mba"",""Sambasa Nzeribe"",""Christian Prince Ochiagha"",""Linda Osifo""}",{Drama},2022-09-01,{Meroestream}
49,Extra Time 2,"{""Ifeanyi Ikpoenyi""}","{""Eucharia Anunobi Ekwu"",""Segun Arinze"",""Enebeli Elebuwa"",""Alex Usifo Omiagbo""}",{Drama},2005-05-01,"{""Kensimon Production""}"
50,Out of My League,"{""Sobe Charles Umeh""}","{""Bimbo Ademoye"",""Scarlet Gomez"",""Ben-Shalom Joshua"",""Chiazo Ogbu"",""Olubayo Solomon""}",{Romance},2020-05-01,"{""Rok Studios""}"
51,The Golden Fish,"{""Emeka Obiakonwa""}","{""Monalisa Chinda"",""Geraldine Ekeocha"",""Vitalis Ndubuisi"",""Saint Obi"",""Kenneth Okonkwo"",""Chinyere Wilfred""}",{Drama},2006-08-01,"{""Dozac Global Maxima Investment""}"
53,No Limitation 2,"{""Kalu Anya"",""Chris Oge-Kalu""}","{""Rita Edochie"",""Sam Loco Efe"",""Clem Ohameze""}",{Drama},2004-12-01,"{""I.G. Best Industries""}"
54,I Need a Husband,"{""Charles Inojie""}","{""Ada Ameh"",""Okey Bakasi"",""Charles Inojie"",""Sam Loco Efe"",""Patience Ozokwor""}",{Comedy},2007-09-01,"{""Louis Merchandise""}"
55,The Corridors of Power 2,"{""MacCollins Chidebe""}","{""Enebeli Elebuwa"",""Justus Esiri"",""Kanayo O. Kanayo"",""Patience Ozokwor""}","{Action,Drama}",2005-10-01,"{""Ossy Affason Production""}"
58,Tsalle Daya,"{""Ali Gumzak""}","{""Jamila Nagudu"",""Ali Nuhu"",""Teema Yola""}",{Drama},2019-10-01,"{""Dan Hajiya Films""}"
59,World of a Prince,"{""Chika Onu""}","{""Nonso Diobi"",""Sam Loco Efe"",""Benita Nzeribe""}",{Drama},2005-01-01,"{""Okwytex Ventures Ltd.""}"
60,Last Confession,"{""Sunday Nnajiude""}","{""Fabian Adibe"",""Chiwetalu Agu"",""Enebeli Elebuwa"",""Rich Oganiru""}",{Comedy},2005-03-01,"{""Edumaco Movies International""}"
62,The Revelation 2,"{""Chike Bryan""}","{""Fred Aresoma"",""Omotola Jalade-Ekeinde"",""Robert Keith"",""Kenneth Okonkwo""}","{Short,Drama}",2007-06-01,"{""Great Favour Production""}"
63,A Night in the Philippines,"{""Zeb Ejiro""}","{""Marie Eboka"",""Desmond Elliot"",""Ibinabo Fiberesima"",""Ufuoma McDermott""}",{Drama},2006-04-01,"{""Angel Light Entertainment"",""Movieland Network Ltd."",""Zeb Ejiro Productions""}"
65,Love Gone Mad,"{""Jerry Isichei""}","{""Gift Obasi"",""Bukky Ogunnote"",""Sandra Okunzuwa"",""Okey Uzoeshi""}",{Drama},2022-11-01,"{""African Movie Channel""}"
66,Take Me Home 2,"{""Emeka Jonathan""}","{""Chiege Alisigwe"",""Desmond Elliot"",""Prince Jeff Ezeanyika"",""Joyce Kalu"",""Gab Liberty"",""Tonia Nwosu"",""Ndidi Obi"",""Mercy Johnson Okojie"",""Henry Opara"",""St. Mikevine I. Paul""}",{Drama},2007-03-01,"{""Akagod Investments""}"
67,Test Your Heart,"{""Emeka Jonathan""}","{""Edith Dibie"",""Pete Edochie"",""Emeka Ike"",""Abraham Nwodo"",""Muna Obiekwe"",""Uche Ogbodo"",""Cynthia Okereke"",""Chiome Onyechi"",""Vincent Opurum""}",{Drama},2008-06-01,"{""Bonag Industries Nigeria""}"
68,Playing Safe,"{""Elvis Chuks""}","{""Ini Edo"",""Ik Ogbonna"",""Tonto Charity Dikeh"",""Chris Okagbue""}",{Drama},2013-03-01,"{""Diamond Groove pictures""}"
72,Old Testament,"{""Nonso Emekaekwue""}","{""Uche Elendu"",""Olu Jacobs"",""Mac Maurice Ndubueze"",""Vitalis Ndubuisi"",""Ndidi Obi"",""Patience Ozokwor"",""Chikezie Uwazie""}",{Drama},2007-10-01,"{""Be Good Ventures"",""Mac Modesty International""}"
73,Baby Girl 2,"{""Tarila Thompson""}","{""Pete Edochie"",""Enebeli Elebuwa"",""Richard Mofe-Damijo"",""Abbey Plaatjes"",""Maureen Solomon""}",{Drama},2005-05-01,"{""Elonel International Ltd.""}"
76,Separate Lives 2,"{""Kabat Esosa Egbon""}","{""Bimbo Akintola"",""Enebeli Elebuwa"",""Uche Iwuji"",""Ramsey Nouah"",""Muna Obiekwe"",""Oge Okoye""}",{Drama},2004-02-01,"{""Kas-Vid International""}"
82,One Life,"{""Tchidi Chikere""}","{""Tchidi Chikere"",""Link Edochie"",""Desmond Elliot"",""Kate Henshaw-Nuttal"",""Ebube Nwagbo"",""Emeka Ossai""}",{Drama},2007-11-01,"{""O. Gabby Innovations""}"
83,Holy City 2,"{""Ilochi Olisaemeka""}","{""Emeka Amakeze"",""Mike Ezuruonye"",""Jim Iyke"",""Oge Okoye""}",{Drama},2008-12-01,"{""Social Movies""}"
87,Help Me Out,"{""Chika Onu""}","{""Sam Loco Efe"",""Obi Madubogwu"",""Patience Ozokwor"",""Maureen Solomon""}",{Drama},2007-03-01,"{""Andy Best Electronics""}"
92,Asiko mi leyi,"{""Micheal Oladele""}","{""Funso Adeolu"",""Fathia Balogun""}",{Drama},2007-07-01,"{""Corporate Pictures""}"
94,Read My Body,"{""Theo-Ziny Joel""}","{Brabisco,""Nobweseh Samuel Cleopas"",""Fountain Gabriel"",""Joseph Inaku"",""Manasseh Samuel""}","{Short,Drama}",2022-11-01,{Zinifrica}
96,Recession Blues,"{""Kabat Esosa Egbon""}","{""Uduak Akrah"",""Stephen Alajemba"",""Shirleyann Ede"",""Mercy Johnson Okojie""}",{Drama},2018-09-01,"{""Little Brothers Global Entertainment""}"
101,Strange Love 2,"{""Theodore Anyanji""}","{""Chioma Chukwuka Akpotha"",""Desmond Elliot"",""Jim Lawson"",""Ashley Nwosu"",""Clem Ohameze""}",{Drama},2006-07-01,"{""Guniks Investment""}"
103,Feel My Pain 2,"{""Afam Okereke""}","{""Mike Ezuruonye"",""Uche Jombo"",""Leo Mezie"",""Amaechi Muonagor""}",{Drama},2008-10-01,"{""Magic Movies Production""}"
105,My Promise 2,"{""Moses Ebere""}","{""Zulu Adigwe"",""Chiege Alisigwe"",""Chidi Ihesie"",""Mary Mukolu"",""Susan Obi"",""Ebere Obidike"",""Kenneth Okonkwo""}",{Drama},2006-12-01,"{""Somaco Ind.""}"
106,One God One Nation 2,"{""Reginald Ebere""}","{""Ini Edo"",""Justus Esiri"",""Chika Ike"",""Olu Jacobs"",""Clem Ohameze"",""Ebele Okaro-Onyiuke"",""Tony Umez""}",{Drama},2005-08-01,"{""P. Collins Productions""}"
110,Becoming Mrs. Eze,"{""Paul Iheanyichukwu Igwe""}","{""Frankincense Eche-Ben"",""Ego Nwosu"",""Maryjane Ogu"",""Mofe Okorodudu"",""Florence Sunday""}",{Drama},2022-11-01,"{""African Movie Channel""}"
111,Mustapha,"{""Dimeji Ajibola""}","{""Chiege Alisigwe"",""Chinonso Arubayi"",""Chelsea Eze"",""Godwin Nnadiekwe"",""Ifeoma Obinwa"",""Jazzy Okey"",""Obi Okoli"",""Tochukwu Simon"",""Bestman Thompson"",""Chinenye Ulaegbu"",""Uzee Usman""}",{Drama},2019-10-01,"{""Mela Movies"",""Rok Studios""}"
113,Pretty Angels,"{""Simi Opeoluwa""}","{""Tina Amuziam"",""Cici Carmen"",""Kemy Damosi"",""Ini Edo"",""Ayo Emmanuel"",""Kalu Ikeagwu"",""Chidi Mokeme"",""Ashley Nwosu""}",{Drama},2005-02-01,"{""Andy Best Electronics""}"
114,Last Confession 2,"{""Sunday Nnajiude""}","{""Fabian Adibe"",""Chiwetalu Agu"",""Enebeli Elebuwa"",""Rich Oganiru""}",{Comedy},2005-11-01,"{""Edumaco Movies International""}"
115,Romeo,"{""William Charles Agbo""}","{""Monalisa Chinda"",""Desmond Elliot"",""Chinwe Owoh""}","{Drama,Romance}",2006-07-01,"{""Uche Links Movies""}"
119,Forest of Tears 3,"{""Ifeanyi Ogbonna""}","{""Kofi Adjorlolo"",""Walter Anga"",""Tonto Charity Dikeh"",""Mike Ezuruonye"",""Olu Jacobs""}",{Drama},2009-09-01,"{""Onyu Best Bright""}"
120,Take Me to Jesus,"{""Francis Agu""}","{""Clarion Chukwura-Abiola"",""Kate Henshaw-Nuttal"",""Seye Johnson""}",{Drama},2008-10-01,"{""Sunshine Movies""}"
123,Exit Plan,"{""Biodun Stephen""}","{""Jennifer Eliogu"",""Ebere Nwosu"",""Wole Ojo"",""Tope Olowoniyan""}",{Drama},2023-01-01,"{""ShutterSpeed Projects""}"
124,Governor's Wife 2,"{""Victor Emeghara""}","{""Rychardo Agbor"",""Peter Bunor"",""Ini Ikpe"",""Stephanie Linus"",""Ramsey Nouah""}","{Short,Drama}",2007-02-01,"{""Kachris Production""}"
125,Clean Up,"{""MacCollins Chidebe""}","{""Rich Azu"",""Kenneth Chukwu"",""Clarion Chukwura-Abiola"",""Emeka Ike"",""Amaechi Muonagor"",""Tom Njamanze""}","{Drama,Romance}",2003-01-01,"{""Annex Merchandise Ltd.""}"
127,Clash of Destiny,"{""Adim Williams""}","{""Franca Brown"",""Emeka Enyiocha"",""Ashley Nwosu"",""Muna Obiekwe""}",{Drama},2005-07-01,"{""Simony Productions""}"
128,Sadauki,"{""Hassan Giggs""}","{""Isa Adamu"",""Tijjani Asase"",""Sah Feroz Khan"",""Alasan Kwalle"",""Rashida Lobbo"",""Haruna Talle Maifata"",""Abdul M. Shareef"",""Fati Washa"",""Adam A. Zango""}","{Drama,Fantasy}",2019-01-01,"{""Giggs International""}"
129,The Sync,"{""Saheed Apanpa""}","{""Esther Audu"",""Nazo Ekezie"",""Keppy Ekpenyong-Bassey"",""Ifeanyi Kalu"",""Bolanle Ninalowo"",""May Owen"",""Robor Samson""}",{Drama},2017-05-01,"{""Bright Pictures Production""}"
130,The Reason It's You,"{""Alaundra Ada Dikesee""}","{""Alaundra Ada Dikesee"",""Chris Okagbue""}",{Drama},2016-09-01,"{""Avail Media Productions""}"
135,Naked Sin,"{""Leo Onwordi""}","{""Chioma Chukwuka Akpotha"",""Desmond Elliot"",""Funmi Holder"",""Vitalis Ndubuisi"",""Ralph Onu"",""Bob-Manuel Udokwu""}",{Drama},2006-07-01,"{""Frontmaster International""}"
137,The Broken Shield 2,"{""Izu Ojukwu""}","{""Ngozi Ezeonu"",""Alex Usifo Omiagbo"",""Patience Ozokwor"",""Tony Umez""}",{Drama},2006-09-01,"{""Mauri Production""}"
138,Desperate Billionare 2,"{""Michael Jaja""}","{""Bimbo Akintola"",""Rita Dominic"",""Ini Edo"",""Kanayo O. Kanayo""}",{Drama},2005-09-01,"{""A-Z Production""}"
140,The Prince and Me,"{""Ikechukwu Onyeka""}","{""Chioma Chukwuka Akpotha"",""Emeka Amakeze"",""Mike Ezuruonye"",""Olu Jacobs"",""Ebele Okaro-Onyiuke""}",{Drama},2007-01-01,"{""Tony Nwatu Production""}"
141,Odaju obinrin,"{""Kolade Kadesh Prince""}","{""Aisha Abimbola"",""Funso Adeolu"",""Yemi Solade""}",{Drama},2006-11-01,"{""Gigatt Productions""}"
142,Jealous Friend 3,"{""Ifeanyi Ogbonna""}","{""Kofi Adjorlolo"",""Chidiebere Aneke"",""Chidinma Aneke"",""Mike Ezuruonye"",""Queen Nwokoye""}",{Drama},2009-07-01,"{""Demek Movies""}"
143,Ebi Tani,"{""Festus Olalekan Dairo""}","{""Ofere Blessing"",""Isarinde Damilola"",""Abiodun Dare"",""Isola Oluwarotimi"",""Adeoti Taiwo""}",{Adventure},2020-06-01,"{""All Nations Baptists Church""}"
144,Missing 'U',"{""Henry Czar Ejeta""}","{""Emeka Ike"",""Ebube Nwagbo""}",{Romance},2003-02-01,"{""Elonel International Ltd.""}"
147,Dangerous Return,"{""Henry Czar Ejeta""}","{""Alex Lopez"",""J.T. Tom West""}",{Action},2006-05-01,"{""Golden Movies""}"
150,Arigbabuwo 2,"{""Mustapha Bakry""}","{""Yomi Fash-Lanso"",""Dele Odule""}",{Drama},2007-04-01,"{""Millennium Films"",""Otolo Films Production""}"
151,Iyanga,"{""Chico Ejiro""}","{""Diewait Ikpechukwu"",""Victoria Inyama"",""Larry Koldsweat"",""Amaechi Muonagor"",""Rita Nzelu""}",{Comedy},2003-08-01,"{""Grand Touch Pictures""}"
152,Blood on the Altar,"{""Mike Bamiloye"",""Elvon Jarrett""}","{""Elizabeth-Ore Adewole"",""Gloria Bamiloye"",""Nike Fasikun"",""Elvon Jarrett"",""Abel Martins""}",{Drama},2006-02-01,"{""Mount Zion Media Connections""}"
153,Mother Love,"{""Biodun Stephen""}","{""Seun Bobade"",""Kelvin Chukwuemeka"",""Ebenezer Eno"",""Emmanuel Igbekele"",""Chimezie Imo"",""Iyinoluwa Oladigbo"",""Tiwa Oladigbo"",""Chidubem Osungade"",""Biodun Stephen"",""Tomiwa Tegbe"",""Mercy Tuga""}",{Drama},2019-09-01,"{""Rok Studios"",""ShutterSpeed Projects""}"
154,For Real,"{""Aguila Njamah""}","{""Remi Abiola"",""Peter Agbo"",""Dakore Akande"",""Eucharia Anunobi Ekwu"",""Emeka Duru"",""Desmond Elliot"",""Justus Esiri"",""Eddie Essang"",""Temisan Etsede"",""Kalu Ikeagwu"",""Johnson Iniabasi"",""Kokoma Isong"",""Oby Nwankwo"",""Cassandra Odita"",""Tolu Okojie"",""Udeme Okuk"",""Ekwi Onwuemene"",""Adebayo Oshin""}",{Drama},2004-09-01,"{""Ulzee Nigerian Ltd.""}"
155,Sebeeyan ni 2,"{""Olaide Olabanji""}","{""Olaide Olabanji"",""Akinyemi Olaiya"",""Yinka Quadri"",""Adebayo Salami""}",{Drama},2006-02-01,"{""Lai-Ban Films International""}"
156,Blind to See,"{""Simon Peacemaker""}","{""Keira Hewatch"",""Stan Nze"",""Melvin Oduah"",""Tope Olowoniyan"",""Promise Osunkwo"",""Dan Ugoji""}",{Drama},2016-06-01,"{""Adekaz Productions""}"
157,Bachelor's Eve,"{""Rotimi Raji""}","{""Gbenro Ajibade"",""Kehinde Bankole"",""Frankincense Eche-Ben"",""Jennifer Ikeji"",""Jumoke Odetola"",""Wole Ojo"",""Kehinde Olorunyomi"",""Doris Simeon"",""Bade Smart""}","{Comedy,Romance}",2018-02-01,"{""Juma Communications""}"
158,Beyond Dreams,"{""Afam Okereke""}","{""Oge Okoye"",""Patience Ozokwor"",""Bob-Manuel Udokwu""}",{Drama},2006-12-01,"{""Master-Mind Production""}"
159,Bridges,"{""Rogers Ofime""}","{""Uche Mac-Auley"",""Elma Mbadiwe"",""Mohammed Olakunle Mutair"",""Maryjane Ogu"",""Sarah Okeke"",""Adenike Ori"",""Christian Paul"",""Bukky Wonda""}","{Short,Drama}",2019-11-01,"{""Native Media"",""Wonda Studios""}"
160,My Everlasting Love 2,"{""Ikechukwu Onyeka""}","{""Desmond Elliot"",""Queen Nwokoye"",""Oge Okoye"",""Rukky Sanda""}",{Drama},2007-08-01,"{""Chidoo Investment"",""Naidon Films"",""One & Two Film""}"
161,The World of Riches,"{""Ifeanyi Ikpoenyi""}","{""Clarion Chukwura-Abiola"",""Clem Ohameze"",""Ngozi Ezeonu"",""Charles Okafor"",""Ifeanyi Ezeokeke"",""Uchemba Williams"",""Chinny Oramus"",""Constance Daniels""}",{Drama},2006-11-01,"{""Deraco Productions""}"
164,Strength of a Woman,"{""Tarila Thompson""}","{""Emeka Ike"",""Stephanie Linus""}",{Drama},2004-03-01,"{""Ultimark Ventures""}"
170,The Funeral,"{""Odiachi Ashimedua"",""Godwin Nzekwe""}","{""Peace Adebowale"",""Mayowa Damola"",""Ebube Dike"",""Myde Glover"",""Susan Ibanga"",""Peter Inyang"",""Tega Obahor"",""Olamide Oshodi-Glover"",""Adunolaoluwa Osilowo""}","{Short,Drama,Fantasy}",2022-07-01,"{""EbonyLife Creative Academy""}"
173,Brave Mind 2,"{""Michael Jaja""}","{""Mercy Johnson Okojie"",""Artus Frank"",""Eve Esin"",""Mary Remmy"",""Chioma Iloekwe"",""Ani Amatosero"",""Jessica Owen"",""Kaycee Nnebe"",""Regina Daniels"",""Ugochukwu Thomas"",""Queeneth Hilbert"",""Iloka Iyke"",""Jane Obi"",""Chris Nwachukwu"",""Phil Nwagu"",""Hardin A. Whitnies"",""Oramulu Peter""}",{Drama},2012-02-01,"{""Magic Movies Production""}"
174,Love & Affliction,"{""Ehime Akhaile""}","{""Sam Obiakeme"",""Angela Phillips"",""Tony Umez""}",{Romance},2004-01-01,"{""Soft Touch Movies International""}"
175,King of Kings 2,"{""Iyke Odife""}","{""Uju Aroh"",""Jim Iyke"",""Nuella Njubigbo"",""Kenneth Okonkwo"",""Ralph Onu""}",{Drama},2009-05-01,"{""Angelcom Entertainment""}"
176,Dark Closet,"{""Saheed Apanpa""}","{""Eucharia Anunobi Ekwu"",""Jibola Dabo"",""Sani Danja"",""Alexx Ekubo"",""Chelsea Eze"",""Yakubu Mohammed""}",{Drama},2015-09-01,"{""Mac Rissals Pictures"",""Uzee Multi Concept""}"
177,Across the River,"{""MacCollins Chidebe""}","{""Somadina Adinma"",""Jerry Amilo"",""Authur Bengil"",""Kenneth Chukwu"",""Link Edochie"",""Geraldine Ekeocha"",""Iheme Festus"",""Obi Ibegbunam"",""Diamond Igwe"",""Diewait Ikpechukwu"",""Candy Iwuji"",""Sam Loco Efe"",""Abraham Madubuko"",""Odinaka Mbadiugha"",""Camilla Mberekpe"",""Dino Ndubueze"",""Elder Maya Ndubuigbo"",""Goddy Nwajagu""}",{Drama},2006-09-01,"{""Coruma International""}"
179,Rhythm of Love 2,"{""Charles Inojie""}","{""Chiwetalu Agu"",""Monalisa Chinda"",""Francis Duru"",""Charles Okocha""}",{Drama},2007-04-01,"{""De-Kross Movie Production"",""Simony Productions""}"
180,The MatchMaker,"{""Saheed Apanpa""}","{""Chuks Anyaduba"",""Brycee Adiah Bassey"",""Kaypee Charles"",""Emem Isaac"",""Nancy Isime"",""Sly Monay"",""Wole Ojo"",""Bryan Okwara""}",{Romance},2015-04-01,"{""Tog Media Films""}"
185,Eyin ogongo,"{""Ade Ajiboye""}","{""Rasaq Ajao"",""Gbolagbade Akinpelu"",""Adewale Elesho"",""Jamiyu Fasasi"",""Taiwo Hassan"",""Ademola Jamiu"",""Florence Ogunbiyi"",""Ronke Ojo"",""Tajudeen Oyewole"",""Idowu Philips"",""Yinka Quadri""}",{Drama},2002-05-01,"{""Aje-Oeokun Film""}"
187,Tomorrow Must Wait 3,"{""Ikechukwu Onyeka""}","{""Nadia Buari"",""Nonso Diobi"",""Omotola Jalade-Ekeinde"",""Jim Lawson"",""Livinus Nnochiri""}",{Drama},2008-05-01,"{""Naidon Films""}"
188,A Fire in the Rain,"{""Chris Eneaji Eneng""}","{""Yvonne Jegede"",""Bolanle Ninalowo"",""Kelly Ochonogor"",""Deyemi Okanlawon""}",{Drama},2017-04-01,"{""WH Productions""}"
189,Opin aiye,"{""Lasun Ray-Eyiwumi""}","{""Olumide Bakare"",""Iyabo Ojo"",""Rose Osanaiye""}",{Drama},2008-11-01,"{""Toymax Films Holding""}"
193,Jealousy,"{""Ndubuisi Okoh""}","{""Emeka Ike"",""Omotola Jalade-Ekeinde"",""Tony Umez""}",{Drama},2006-03-01,"{""I.G. Best Industries"",""Rolex Electronics""}"
236,The Screenplay,"{""Emmanuel Mang Eme""}","{""Mercy Aigbe"",""Mike Ezuruonye"",""Ejike Ibedilo"",""Victoria Nwogu"",""Ejike Obinna""}",{Thriller},2017-02-01,"{""Mistamang Productions""}"
241,Distance Between,"{""Izu Ojukwu""}","{""Yemi Blaq"",""Rita Dominic"",""Emeka Duru"",""Frankincense Eche-Ben"",""Sandra Ejiogu"",""Debbie Ibinola"",""Kalu Ikeagwu"",""Ashley Nwosu"",""Nicole O'Neil"",""Cassandra Odita"",""Mercy Johnson Okojie"",""Vivian Pius"",""Oluchi Ukagba"",""Charles Waran""}",{Drama},2008-02-01,"{""O. J. Productions""}"
258,April fúùlù,"{""Sunday Soyinka""}","{""Bayo Bankole"",""Foluke Daramola"",""Toyin Majekodunmi"",""Peju Ogunmola"",""Babatunde Omidina"",""Yemi Solade"",""Korede Soyinka""}","{Comedy,Family}",2003-07-01,{Korede}
260,Titanic Battle 2,"{""Kalu Anya""}","{""Chika Ike"",""Emeka Ike"",""Omotola Jalade-Ekeinde"",""Vitalis Ndubuisi""}","{Drama,Romance}",2007-02-01,"{""Pressing Forward Production"",""Rich-Rock Productions""}"
271,Dry Fish,"{""Tony Muonagor""}","{""Ochando MacSmith"",""Ben Nwosu"",""Ngozi Nwosu"",""Kingsley Ogbonna"",""Bayo Howie Tee""}","{Comedy,Drama,Family}",2003-05-01,"{""Louis Merchandise""}"
291,The Suitors,"{""Ndubuisi Okoh""}","{""Pat Attah"",""Peter Bunor"",""Pete Eneh"",""Ngozi Ezeonu"",""Juliet Ibeh"",""Kevin Ikeduba"",""Kanayo O. Kanayo"",""Kenneth Okonkwo""}","{Action,Drama}",2000-03-01,"{""Chullins Investment"",""Emmalex Associates Ltd.""}"
297,Raging Tigers 2,"{""Chris Oge-Kalu""}","{""Justus Esiri"",""Amaechi Muonagor"",""Chinwe Owoh"",""Vitalis Ndubuisi""}",{Drama},2008-06-01,"{""Great King Productions""}"
303,Dirty Ambition,"{""Olowajaiye Michael""}","{""Williams Ajayi"",""George Armani Ayeke"",""Sunny Bassey"",""Avwerosuo Digbori"",""Salome Eketunde"",""Fred Gadji"",""Ngozi Ikemefuna"",""Kingsley Knight"",""Mary Lazarus"",""Frederick Leonard"",""Tina Mba"",""Anthony Monjaro"",""Momudu Pascal"",""Inem Peter"",""Juliet Sidi""}",{Drama},2021-04-01,"{""Julz Pictures""}"
305,Rude Awakening,"{""Teco Benson""}","{""Gift Amaka Anizoba"",""Dianne Chukwu"",""Rachel Edwards"",""Nazo Ekezie"",""Frederick Leonard"",""Josh Alhassan Poka"",""Ella Uche""}",{Drama},2020-07-01,"{""Rok Studios"",""TFP Global Network""}"
315,Indomie Lomo 2,"{""Muyiwa Ademola""}","{""Fathia Balogun"",""Saidi Balogun"",""Bisi Ibidapo"",""Rachel Oniga"",""Lere Paimo"",""Adebayo Salami""}",{Drama},2004-02-01,"{""Divine Touch Productions""}"
