,title,director,stars,genre,release_date,company
4260,The Lost Heir,"{""Muyiwa Aluko""}","{""Sunday Afolabi"",""Tessy Brown"",""Rita Edward"",""Steve Enagbare"",""Ebenezer Eno"",""Lord Frank"",""Kayode Freeman"",""Gloria Mba"",""Jude Odoh"",""Olu Okekanye"",""Thessy Osikominu"",""Rotimi Salami""}",{Drama},2018-09-01,"{""Rok Studios"",""Watts Camera Action""}"
4263,Chief Daddy,"{""Niyi Akinmolayan""}","{""Bisola Aiyeola"",""Dakore Akande"",""Funke Akindele"",""Zainab Balogun"",""Shaffy Bello"",""Chioma Omeruah"",""Ini Edo"",""Linda Ihuoma-Suleiman"",Falz,""Mawuli Gavor"",""Kate Henshaw-Nuttal"",""Lepacious Bose"",""Richard Mofe-Damijo"",""M.I. Abaga"",""Beverly Naya"",""Nedu Wazobia"",""Taiwo Obileye"",""Rachel Oniga""}",{Comedy},2018-12-01,"{""EbonyLife Films""}"
4264,Can't Let Go,"{""Lancelot Oduwa Imasuen""}","{""Desmond Elliot"",""Ngozi Ezeonu"",""Grace Amah"",""Aniekan Iniodu"",""Ime Bishop Umoh"",""Eno Ekwere"",""Hadassah David"",""Emem Jess"",""Lucy Bassey"",""Kingsley Imo"",""Gloria Atakang"",""Imabong Billy"",""Shirley Duke"",""Mariam Lawrence""}",{Drama},2008-06-01,"{""Ulzee Nigeria Ltd.""}"
4265,Fine Things,"{""Remi Ibinola""}","{""Gusty Chibuike"",""Rita Edward"",""Pere Egbi"",""Lydia Lawrence-Nze"",""Olohigbe Lolo Nwagwu"",""Ebere Doris Okorie"",""Francis Onwochei"",""Toju Peter"",""Spiffy Stella""}",{Drama},2021-11-01,"{""Applause Entertainment"",""Rok Studios""}"
4266,Married to Myself,"{""Richards Omos-Iboyi""}","{""Esther Audu"",""Emmanuel Emoabino"",""Olakunle Fawole"",""Daniella Foster"",""Samuel Foster"",""T. Temple Ikeji"",""Yvonne Jegede"",""Cassandra Odita"",""Priscilla Okpara"",""Jerry Williams""}",{Drama},2017-09-01,{Lion-Hills}
4267,Seven and a Half Dates,"{""Biodun Stephen""}","{""Toyin Abraham"",""Prince Agho"",""Roxy Antak"",""Fathia Balogun"",""Frank Donga"",""Ken Erics"",""Ejike Ibedilo"",""Chris Iheuwa"",""Jim Iyke"",""Ajayi Kenny"",""Akin Lewis"",""Seun Lucas"",""Bayray McNwizu"",""Ali Nuhu"",""Mercy Johnson Okojie"",""Michael Sani"",""Banjo Simisola"",""Sola Sobowale""}",{Drama},2018-08-01,"{""Bigsam Media""}"
4268,Over Heat,"{""Kalu Anya""}","{""Charles Inojie"",""Sam Loco Efe"",""Uche Ogbodo"",""John Okafor""}",{Drama},2006-07-01,"{""Video-Filed International""}"
4269,A Little Favour,"{""Kensteve Anuka""}","{""Rosie Afuwape"",""Austine Amechi"",""Chucks Chyke"",""Regina Daniels"",""Nancy Desmond"",""Ukaea Ebere"",""Vivian Gabriel"",""Abigail Kigbu"",""Theophilous Luka"",""Sani Tasuu"",""Paul Vicks""}",{Drama},2022-11-01,"{""One and Two Film Production""}"
4270,De prof 2,"{""Charles Inojie""}","{""Rita Arum"",""Amaechi Muonagor"",""Elder Maya Ndubuigbo"",""Clem Ohameze"",""Nwani Okolo"",""Nkem Owoh""}",{Comedy},2007-04-01,"{""Elonel International Ltd.""}"
4271,Unbridled,"{""Paul Iheanyichukwu Igwe""}","{""Emeka Darlington"",""Rachel Edwards"",""Alexander Igwe"",""Delroy Norman"",""Calista Nwajide"",""Jimmy Odukoya"",""Sandra Okunzuwa"",""Trinity Ugonabo"",""Vich Vitalis""}",{Romance},2021-06-01,"{""African Movie Channel"",""Whitestone Cinema""}"
4272,Kunle alájesékù 2,"{""Waheed Ijaduade""}","{""Bolaji Amusan"",""Fathia Balogun"",""Saidi Balogun"",""Babatunde Omidina"",""Yemi Solade""}",{Drama},2004-04-01,"{""Das Motion Pictures"",""Gemini Films & Marketing""}"
4273,Ihamo,"{""Soji Eweade""}","{""Mercy Aigbe"",""Tito Harrison""}",{Drama},2009-11-01,"{""Prudent Pictures""}"
4274,30 Days,"{""Mildred Okwo""}","{""Iyabo Amoke"",""Chet Anekwe"",""Segun Arinze"",""Najite Dede"",""Kalu Ikeagwu"",""Genevieve Nnaji"",""Ebele Okaro-Onyiuke"",""Ekwi Onwuemene"",""Susan Peters"",""Gbenga Richards"",""Joke Silva"",""Nobert Young""}","{Action,Drama,Romance}",2006-04-01,"{""Native Lingua Films"",""Temple Productions""}"
4275,Temi ni tie ko,"{""Sikiru Adesina""}","{""Bukky Ajayi"",""Opeyemi Ayeola"",""Fathia Balogun"",""Jide Kosoko"",""Dele Odule"",""Ronke Ojo"",""Sola Sobowale""}","{Drama,Romance}",2004-10-01,"{""Solid Productions""}"
4276,Clash of Destiny 2,"{""Adim Williams""}","{""Franca Brown"",""Emeka Enyiocha"",""Ashley Nwosu"",""Muna Obiekwe""}",{Drama},2005-03-01,"{""Simony Productions""}"
